student_id,study_hours,attendance,assignments,previous_marks,participation,result
S0001,6.8,51,4,66,4,Pass
S0002,2.3,56,10,46,10,Pass
S0003,4.8,51,1,62,4,Fail
S0004,5.5,51,8,60,9,Pass
S0005,4.8,78,9,70,1,Pass
S0006,7.8,60,6,78,5,Pass
S0007,2.4,98,5,48,2,Fail
S0008,4.4,72,5,68,1,Pass
S0009,7.6,84,1,83,2,Pass
S0010,6.0,90,9,81,10,Pass
S0011,2.7,54,0,64,5,Fail
S0012,9.9,64,1,83,5,Pass
S0013,5.1,73,2,82,6,Pass
S0014,2.9,67,10,44,10,Pass
S0015,6.7,84,3,55,8,Pass
S0016,4.4,90,8,63,6,Pass
S0017,8.6,99,0,64,1,Pass
S0018,8.2,75,4,43,4,Pass
S0019,9.2,86,5,62,8,Pass
S0020,4.6,91,7,53,5,Pass
S0021,2.3,97,8,68,10,Pass
S0022,4.9,87,6,81,4,Pass
S0023,10.0,58,8,98,2,Pass
S0024,7.8,57,2,55,7,Pass
S0025,6.4,74,6,94,9,Pass
S0026,3.3,85,0,49,9,Pass
S0027,7.8,99,10,78,2,Pass
S0028,3.6,60,7,35,5,Fail
S0029,9.7,98,2,99,2,Pass
S0030,8.8,69,10,99,10,Pass
S0031,2.8,73,2,35,10,Fail
S0032,3.9,51,1,81,5,Fail
S0033,3.2,65,9,45,2,Fail
S0034,7.6,54,8,51,3,Pass
S0035,6.9,85,2,68,9,Pass
S0036,8.9,77,3,60,5,Pass
S0037,4.6,92,10,82,8,Pass
S0038,9.1,78,1,66,4,Pass
S0039,1.6,51,9,64,10,Pass
S0040,3.0,54,10,42,4,Pass
S0041,1.6,52,5,44,9,Fail
S0042,3.1,92,7,62,9,Pass
S0043,2.2,86,9,95,4,Pass
S0044,8.1,76,3,47,2,Pass
S0045,6.9,72,6,87,8,Pass
S0046,8.8,53,10,47,1,Pass
S0047,4.6,71,1,66,4,Fail
S0048,2.7,78,2,89,3,Pass
S0049,3.5,65,1,91,9,Pass
S0050,1.9,91,8,36,2,Fail
S0051,9.3,65,2,87,8,Pass
S0052,5.3,75,0,56,7,Pass
S0053,1.0,74,4,93,5,Pass
S0054,4.8,96,8,97,3,Pass
S0055,2.7,63,0,42,6,Fail
S0056,1.5,87,7,99,9,Pass
S0057,2.4,82,1,58,2,Fail
S0058,6.4,93,3,86,2,Pass
S0059,9.5,86,3,40,10,Pass
S0060,1.7,92,9,75,5,Pass
S0061,2.8,95,5,65,5,Pass
S0062,4.6,92,10,73,8,Pass
S0063,3.8,98,1,36,8,Pass
S0064,6.6,86,1,44,9,Pass
S0065,2.9,66,2,79,2,Fail
S0066,8.9,73,4,55,8,Pass
S0067,8.5,95,4,36,9,Pass
S0068,3.7,92,1,52,5,Fail
S0069,2.0,56,8,54,5,Fail
S0070,3.5,63,5,61,5,Pass
S0071,5.5,66,0,46,7,Fail
S0072,8.5,52,0,77,3,Pass
S0073,6.7,66,2,91,9,Pass
S0074,7.4,85,0,49,2,Fail
S0075,9.5,94,2,39,6,Pass
S0076,6.2,59,6,51,1,Pass
S0077,3.8,100,0,80,4,Pass
S0078,7.1,92,1,80,9,Pass
S0079,9.0,76,9,54,4,Pass
S0080,8.8,61,6,38,3,Pass
S0081,7.6,71,6,66,5,Pass
S0082,2.4,94,1,83,1,Fail
S0083,8.7,64,3,93,6,Pass
S0084,3.7,100,3,63,1,Pass
S0085,6.9,75,5,70,2,Pass
S0086,9.7,67,5,100,7,Pass
S0087,7.1,84,5,38,2,Pass
S0088,8.9,66,2,68,1,Pass
S0089,2.0,77,5,75,7,Pass
S0090,6.5,82,1,84,10,Pass
S0091,2.7,52,6,35,9,Fail
S0092,9.3,84,10,60,6,Pass
S0093,4.9,92,5,75,2,Pass
S0094,7.5,69,8,74,7,Pass
S0095,3.9,94,4,51,4,Pass
S0096,4.8,74,10,57,10,Pass
S0097,6.1,75,8,35,5,Pass
S0098,3.6,77,9,76,8,Pass
S0099,5.0,93,3,100,8,Pass
S0100,8.1,100,2,45,5,Pass
S0101,5.6,90,9,77,2,Pass
S0102,8.4,98,3,74,4,Pass
S0103,8.3,59,0,40,4,Fail
S0104,9.9,89,1,93,7,Pass
S0105,9.0,86,3,84,8,Pass
S0106,4.6,59,10,35,2,Fail
S0107,8.0,64,2,94,1,Pass
S0108,6.0,57,7,52,8,Pass
S0109,7.0,85,9,75,8,Pass
S0110,6.5,96,8,89,9,Pass
S0111,5.0,60,7,92,5,Pass
S0112,7.8,90,4,97,4,Pass
S0113,3.5,54,4,65,5,Fail
S0114,4.0,84,1,52,3,Fail
S0115,3.1,94,2,62,2,Fail
S0116,4.7,71,8,94,7,Pass
S0117,1.6,76,6,37,10,Pass
S0118,4.4,50,5,73,7,Pass
S0119,8.7,76,8,63,8,Pass
S0120,3.0,77,7,38,7,Pass
S0121,4.0,93,6,56,8,Pass
S0122,9.3,89,8,38,7,Pass
S0123,6.3,92,0,45,7,Pass
S0124,2.2,79,2,41,5,Fail
S0125,4.4,63,7,76,6,Pass
S0126,7.9,74,4,88,5,Pass
S0127,8.5,80,0,41,6,Pass
S0128,3.0,54,10,40,1,Fail
S0129,9.5,62,0,54,4,Pass
S0130,2.1,92,1,62,8,Pass
S0131,7.3,99,5,56,10,Pass
S0132,6.5,97,1,55,5,Pass
